#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="BirthDeathStubSimulator" ntaxa="20" spec="gammaspike.tree.BirthDeathStubSimulator">
#        <parameter id="r0" lower="1.0" name="r0" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#        <parameter id="RealParameter" lower="0.0" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter" upper="0.0">0.0</parameter>
#        <nstubsPerBranch id="nstubs.branch" spec="beast.base.inference.parameter.IntegerParameter">0</nstubsPerBranch>
#        <parameter id="lambda" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <tree id="tree" spec="beast.base.evolution.tree.Tree">
#            <taxonset id="TaxonSet">
#            </taxonset>
#        </tree>
#    </distribution>
#    <prior id="Prior" name="distribution" x="@lambda">
#        <LogNormal id="LogNormalDistributionModel" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant" spec="beast.base.core.Function$Constant" value="2.0"/>
#            <S id="Function$Constant1" spec="beast.base.core.Function$Constant" value="0.2"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior1" name="distribution" x="@r0">
#        <Exponential id="Exponential" name="distr" offset="1.0">
#            <mean id="Function$Constant2" spec="beast.base.core.Function$Constant" value="5.0"/>
#        </Exponential>
#    </prior>
#    <prior id="Prior2" name="distribution">
#        <parameter id="gammaShape" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <Exponential id="Exponential1" name="distr">
#            <mean id="Function$Constant3" spec="beast.base.core.Function$Constant" value="1.0"/>
#        </Exponential>
#    </prior>
#    <prior id="Prior3" name="distribution">
#        <parameter dimension="20" id="aa.frequencies" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.05</parameter>
#        <Dirichlet id="Dirichlet" name="distr">
#            <parameter dimension="20" id="RealParameter1" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter" upper="0.0">4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0</parameter>
#        </Dirichlet>
#    </prior>
#    <prior id="transitionPi.prior" name="distribution">
#        <parameter id="transitionPi" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#        <Beta id="Beta" name="distr">
#            <alpha id="Function$Constant4" spec="beast.base.core.Function$Constant" value="5.0"/>
#            <beta id="Function$Constant5" spec="beast.base.core.Function$Constant" value="5.0"/>
#        </Beta>
#    </prior>
#    <distribution id="BetaRange" spec="beastlabs.math.distributions.BetaRange">
#        <parameter id="transitionHeight" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#        <alpha id="Function$Constant6" spec="beast.base.core.Function$Constant" value="6.0"/>
#        <beta id="Function$Constant7" spec="beast.base.core.Function$Constant" value="2.0"/>
#        <lower id="Function$Constant8" spec="beast.base.core.Function$Constant" value="0.0"/>
#        <upper id="treeHeight" spec="beast.base.evolution.tree.TreeStatLogger" tree="@tree"/>
#    </distribution>
#    <prior id="Prior4" name="distribution">
#        <parameter id="clockSD" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <Gamma id="Gamma" name="distr">
#            <alpha id="Function$Constant9" spec="beast.base.core.Function$Constant" value="5.0"/>
#            <beta id="Function$Constant10" spec="beast.base.core.Function$Constant" value="0.05"/>
#        </Gamma>
#    </prior>
#    <prior id="Prior5" name="distribution">
#        <parameter id="spikeMean" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#        <LogNormal id="LogNormalDistributionModel1" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant11" spec="beast.base.core.Function$Constant" value="0.01"/>
#            <S id="Function$Constant12" spec="beast.base.core.Function$Constant" value="1.2"/>
#        </LogNormal>
#    </prior>
#    <prior id="Prior6" name="distribution">
#        <parameter id="spikeShape" lower="0.2" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        <LogNormal id="LogNormalDistributionModel2" meanInRealSpace="true" name="distr">
#            <M id="Function$Constant13" spec="beast.base.core.Function$Constant" value="2.0"/>
#            <S id="Function$Constant14" spec="beast.base.core.Function$Constant" value="0.5"/>
#        </LogNormal>
#    </prior>
#    <distribution id="BranchSpikePrior" nstubs="@nstubs.branch" shape="@spikeShape" spec="gammaspike.distribution.BranchSpikePrior" tree="@tree">
#        <parameter id="spikes" lower="0.0" name="spikes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    </distribution>
#    <distribution id="BranchRatePrior" sigma="@clockSD" spec="gammaspike.distribution.BranchRatePrior" tree="@tree">
#        <parameter id="branchRates" lower="0.0" name="branchRates" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    </distribution>
#</input>
#
Sample	lambda	r0	tree.ntaxa	gammaShape	aa.frequencies.1	aa.frequencies.2	aa.frequencies.3	aa.frequencies.4	aa.frequencies.5	aa.frequencies.6	aa.frequencies.7	aa.frequencies.8	aa.frequencies.9	aa.frequencies.10	aa.frequencies.11	aa.frequencies.12	aa.frequencies.13	aa.frequencies.14	aa.frequencies.15	aa.frequencies.16	aa.frequencies.17	aa.frequencies.18	aa.frequencies.19	aa.frequencies.20	transitionPi	transitionHeight	clockSD	spikeMean	spikeShape	useSpikeModel	tree.height	tree.treeLength	nancestors	nstubs	nstubs.branch.1	nstubs.branch.2	nstubs.branch.3	nstubs.branch.4	nstubs.branch.5	nstubs.branch.6	nstubs.branch.7	nstubs.branch.8	nstubs.branch.9	nstubs.branch.10	nstubs.branch.11	nstubs.branch.12	nstubs.branch.13	nstubs.branch.14	nstubs.branch.15	nstubs.branch.16	nstubs.branch.17	nstubs.branch.18	nstubs.branch.19	nstubs.branch.20	nstubs.branch.21	nstubs.branch.22	nstubs.branch.23	nstubs.branch.24	nstubs.branch.25	nstubs.branch.26	nstubs.branch.27	nstubs.branch.28	nstubs.branch.29	nstubs.branch.30	nstubs.branch.31	nstubs.branch.32	nstubs.branch.33	nstubs.branch.34	nstubs.branch.35	nstubs.branch.36	nstubs.branch.37	nstubs.branch.38	nstubs.branch.39
0	1.3255925862446625	1.4302780960322714	20	1.7373221403687822	0.007167813275523162	0.11012712516656702	0.06072799581622854	0.013158698063229727	0.06715470920751396	0.027183502183880243	0.030915335007997934	0.03781590847220124	0.06150831764750072	0.07715740289498195	0.03143343848471482	0.074586816711154	0.04936361701756976	0.07062692342522779	0.045099197078881846	0.04081900160982856	0.09914498020474459	0.023362091754983574	0.03461848922170541	0.038028636755565115	0.6528468448582582	1.903856507795822	0.5995644626236253	0.004083746216068355	1.2471446968538416	1	2.3846233773698122	14.449740005444008	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	3	0	0	0	1	0
1	1.3594223880552068	6.8129558993082995	20	0.8347184654585379	0.027837829463437144	0.04463431834559763	0.011778833286892923	0.010699598804223102	0.03373180136658206	0.049334774637982075	0.08454901554592151	0.04730601781819931	0.05573176801748558	0.06581577011204783	0.03961069487910097	0.14274438303353468	0.053988187169498235	0.06075543455897103	0.0639570421413518	0.03890678896361127	0.03133333788839432	0.0611735084078894	0.04308960560022914	0.03302128995904999	0.4218129769435892	1.6738957559366512	0.27072734182366825	0.010402042656997805	1.9559546949839672	1	2.0888489456857853	11.56744900161252	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
2	2.089154516266931	14.780628965895843	20	0.7537326859848715	0.020665488385506782	0.03723517496518226	0.05429901925208962	0.03595873758236004	0.05354899083745539	0.0544490895329093	0.05128484403627025	0.061394691755275975	0.06376858374047976	0.12335379399787016	0.06097355349400116	0.031657777352133314	0.03779831996168078	0.015631260328027002	0.10503592273239355	0.06947154137727062	0.011593891631386619	0.037305560562521864	0.02795362908930687	0.04662012938587853	0.33925199078078616	1.4543283404426393	0.2548393874698186	0.008273928987849713	10.902272876928564	1	1.5145670300775365	10.22044378777239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2.003333630383338	6.195442333654623	20	1.7586240896480094	0.0379844529628447	0.04067615058176831	0.05152997272576618	0.023471710022901025	0.0451854223269357	0.050788525353939316	0.06633275272185375	0.0678802578428837	0.04650142214811725	0.017395525994188293	0.02043604237612172	0.04595145254841881	0.05493988933213025	0.06319145117145444	0.05023266529210476	0.10366141269693299	0.06852596273983516	0.04707668460657041	0.03686036512098985	0.06137788143424342	0.5038715378951717	1.37422242966792	0.16677217655549384	0.006153756877193619	4.820513731524472	1	1.859489465373332	14.05395974676014	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0
4	1.7467330484332666	4.097468753562156	20	0.2931781888093227	0.025824361077847406	0.03800866269332809	0.0674495177983624	0.0511367736948864	0.06671577402072056	0.03890322614179525	0.026695972693343017	0.05415416600661399	0.0424518211256657	0.04767219790383762	0.0730096196475782	0.07940294747610924	0.07418792787335966	0.07901821599493711	0.02173691361557603	0.05315421258810162	0.0772419053597735	0.013758801152953483	0.035053421951693337	0.03442356118351773	0.2350936532075648	1.9650734917211954	0.11985504012974747	0.01008746803917771	1.6257416428852522	1	2.3540149844887654	12.564105193604789	0	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0
5	1.5521449755358747	5.345199148471513	20	0.8592181940646116	0.030253517465794272	0.0932454645930676	0.037784865018702346	0.08158277416290606	0.02670464594833492	0.08345035103264523	0.017662839802058905	0.04283277619533104	0.04316356743574018	0.07200616617343855	0.03344547810531484	0.05805715270869954	0.0355889437625109	0.020088326651807844	0.01649891657096214	0.04160992834858239	0.061300706433650404	0.07348267619666603	0.032994170814894294	0.09824673257889287	0.5920255184236942	1.36840869514007	0.20390565544274603	0.0028333232946337085	3.7514796825537506	1	1.5698570095917024	9.701969744255823	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
6	2.947904090714364	2.60264262275482	20	0.5192737121952936	0.022992274377181612	0.034998946579326465	0.04708457308323079	0.07880774243366295	0.044521990657213316	0.02785042016071236	0.048453176383438226	0.11423328838442455	0.05241574025027229	0.033089515745938144	0.013409449088233993	0.038539112975321005	0.06142948315625277	0.04723464793066003	0.019947282080033265	0.035074408122959144	0.024114510826360624	0.039146977247189	0.14218237689586025	0.07447408362172922	0.7921130143204814	0.8376719797696802	0.24095463032895625	0.0010579881759635438	1.2636011250832784	1	1.2891209479143857	7.616030313705442	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1.6660860403934332	6.096140546308019	20	4.583048021856597	0.030170419089837554	0.09684122829668021	0.03167939689420161	0.06286193850146042	0.043847678048688464	0.056563704204219654	0.019371601614891203	0.061060555135250875	0.04528223810553333	0.018298348107081957	0.02029219036646815	0.06401822634676846	0.16365010782859518	0.015054499986436888	0.048862263410956265	0.03459098550821223	0.04627653302903462	0.06977081361921118	0.049152886425561995	0.022354385480909823	0.667059442250306	1.093315032389585	0.22835729665245508	0.007911368419294487	1.7534835669819655	1	1.6601988449973621	11.607135785050403	0	6	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
8	1.6153795424105888	2.026449483817999	20	1.5981578451659952	0.054510357594505884	0.07933219786079176	0.04121996098295504	0.04747902611260354	0.0533651992505849	0.04598819061485662	0.05423805999033983	0.09878447310134993	0.014945872811170755	0.05715831617662567	0.04872932958785245	0.024715151175696712	0.05477151435123339	0.04392694032832867	0.0768475326893391	0.06504321971329315	0.027099713440979525	0.03835207609842373	0.04328851270906544	0.0302043554100037	0.4316152153188414	0.8791820847266955	0.1408357004879974	0.003146692308633907	1.4463301679273726	1	1.2760954476270787	6.897398097167855	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
9	1.5447875351839593	1.2418317361023532	20	0.1641575117410328	0.059018278738052474	0.051029095909342126	0.1063699036199334	0.08008930927310672	0.06331759686513	0.020901093297005142	0.07030911505421918	0.027276085005868176	0.047182429594726634	0.021066652347144336	0.03787591564132454	0.0446358618722635	0.043323103397367495	0.0690053514524247	0.045089034316736325	0.060934770894369314	0.029211784881654435	0.022404859480681095	0.05498765037583271	0.0459721079828175	0.47247570970718583	1.412918518978176	0.13469008284457126	0.01003487967770142	1.756638671140172	1	1.686489348009173	14.347111722686932	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	3	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
